GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
phonebook-api,com.phonebook.mapper,ContactMapper,3,45,0,2,1,17,1,3,1,2
phonebook-api,com.phonebook.controller,ContactController,0,51,0,0,0,11,0,8,0,8
phonebook-api,com.phonebook.dto,ContactRequestDTO,0,18,0,0,0,1,0,1,0,1
phonebook-api,com.phonebook.dto,ContactResponseDTO,0,27,0,0,0,1,0,1,0,1
phonebook-api,com.phonebook.exception,GlobalExceptionHandler,0,82,0,0,0,25,0,6,0,6
phonebook-api,com.phonebook.exception,ApiError,0,33,0,0,0,6,0,6,0,6
phonebook-api,com.phonebook.service,ContactService,29,239,2,8,6,54,5,14,3,11
phonebook-api,com.phonebook.config,CorsConfig.new WebMvcConfigurer() {...},0,48,0,0,0,6,0,2,0,2
phonebook-api,com.phonebook.config,EnvConfig,3,7,0,0,1,2,1,2,1,2
phonebook-api,com.phonebook.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
phonebook-api,com.phonebook.entity,Contact,64,342,43,33,0,19,35,27,0,24
phonebook-api,com.phonebook.entity,Contact.ContactBuilder,19,63,0,0,0,1,1,10,1,10
